Tayade ,Esha ,ART34,Main land China ,Nuts ,7/11/21,10:30,
Patel ,Anjani ,HTR78,Lupitas ,Egg,19/12/21,11:00,
Arora ,Gaurav ,BNG34,American house ,Cumin Seed,24/11/21,12:15,
Rogger ,Steave ,PLK50,Lupitas ,none ,14/12/21,2:30,
Oswald ,Zach ,GRW59,American house ,none ,23/12/21,3:00,
Fairbanks ,Cody ,LPE12,Main land China ,Nuts,28/11/21,8:30,
Simon ,Keyli,PQC83,Lupitas ,none ,12/12/21,9:45,
Styles,Justin ,ZXE56,Lupitas ,none ,13/11/21,8:35,
Bridge ,Koop,HZM49,American House ,Nuts,14/11/21,6:30,
Potter ,Ron ,LOP78 ,Main land China ,Soy,17/12/21,12:15,
